年,月,地域区分,データ区分,地域コード,地域名称,人数
2021,10,都道府県,観光来訪者数,1,北海道,3395454
2021,10,都道府県,観光来訪者数,2,青森県,816535
2021,10,都道府県,観光来訪者数,3,岩手県,856159
2021,10,都道府県,観光来訪者数,4,宮城県,1630228
2021,10,都道府県,観光来訪者数,5,秋田県,797233
2021,10,都道府県,観光来訪者数,6,山形県,929765
2021,10,都道府県,観光来訪者数,7,福島県,1636967
2021,10,都道府県,観光来訪者数,8,茨城県,1963202
2021,10,都道府県,観光来訪者数,9,栃木県,2453336
2021,10,都道府県,観光来訪者数,10,群馬県,1646280
2021,10,都道府県,観光来訪者数,11,埼玉県,2266367
2021,10,都道府県,観光来訪者数,12,千葉県,3359542
2021,10,都道府県,観光来訪者数,13,東京都,7771980
2021,10,都道府県,観光来訪者数,14,神奈川県,2880399
2021,10,都道府県,観光来訪者数,15,新潟県,1716928
2021,10,都道府県,観光来訪者数,16,富山県,551393
2021,10,都道府県,観光来訪者数,17,石川県,838501
2021,10,都道府県,観光来訪者数,18,福井県,594432
2021,10,都道府県,観光来訪者数,19,山梨県,1333962
2021,10,都道府県,観光来訪者数,20,長野県,2774914
2021,10,都道府県,観光来訪者数,21,岐阜県,2035559
2021,10,都道府県,観光来訪者数,22,静岡県,3215410
2021,10,都道府県,観光来訪者数,23,愛知県,3025301
2021,10,都道府県,観光来訪者数,24,三重県,1435317
2021,10,都道府県,観光来訪者数,25,滋賀県,1314082
2021,10,都道府県,観光来訪者数,26,京都府,2209853
2021,10,都道府県,観光来訪者数,27,大阪府,3084268
2021,10,都道府県,観光来訪者数,28,兵庫県,3882466
2021,10,都道府県,観光来訪者数,29,奈良県,1139075
2021,10,都道府県,観光来訪者数,30,和歌山県,757128
2021,10,都道府県,観光来訪者数,31,鳥取県,455758
2021,10,都道府県,観光来訪者数,32,島根県,699928
2021,10,都道府県,観光来訪者数,33,岡山県,1307489
2021,10,都道府県,観光来訪者数,34,広島県,1633278
2021,10,都道府県,観光来訪者数,35,山口県,969286
2021,10,都道府県,観光来訪者数,36,徳島県,465351
2021,10,都道府県,観光来訪者数,37,香川県,518688
2021,10,都道府県,観光来訪者数,38,愛媛県,715541
2021,10,都道府県,観光来訪者数,39,高知県,476487
2021,10,都道府県,観光来訪者数,40,福岡県,2302811
2021,10,都道府県,観光来訪者数,41,佐賀県,675780
2021,10,都道府県,観光来訪者数,42,長崎県,625545
2021,10,都道府県,観光来訪者数,43,熊本県,1426858
2021,10,都道府県,観光来訪者数,44,大分県,1188362
2021,10,都道府県,観光来訪者数,45,宮崎県,736631
2021,10,都道府県,観光来訪者数,46,鹿児島県,785414
2021,10,都道府県,観光来訪者数,47,沖縄県,615516
2021,11,都道府県,観光来訪者数,1,北海道,2379303
2021,11,都道府県,観光来訪者数,2,青森県,730568
2021,11,都道府県,観光来訪者数,3,岩手県,716361
2021,11,都道府県,観光来訪者数,4,宮城県,1617889
2021,11,都道府県,観光来訪者数,5,秋田県,629837
2021,11,都道府県,観光来訪者数,6,山形県,783327
2021,11,都道府県,観光来訪者数,7,福島県,1595846
2021,11,都道府県,観光来訪者数,8,茨城県,2086468
2021,11,都道府県,観光来訪者数,9,栃木県,2733712
2021,11,都道府県,観光来訪者数,10,群馬県,1693939
2021,11,都道府県,観光来訪者数,11,埼玉県,2530165
2021,11,都道府県,観光来訪者数,12,千葉県,3951362
2021,11,都道府県,観光来訪者数,13,東京都,9587222
2021,11,都道府県,観光来訪者数,14,神奈川県,3595257
2021,11,都道府県,観光来訪者数,15,新潟県,1527732
2021,11,都道府県,観光来訪者数,16,富山県,553508
2021,11,都道府県,観光来訪者数,17,石川県,908767
